goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: AMD Ryzen 7 2700X Eight-Core Processor         
BenchmarkPrecompiledEcrecover/-Gas=3000-16            	  158247	     67662 ns/op	      3000 gas/op	        44.33 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-16             	15961444	       714.2 ns/op	       108.0 gas/op	       151.2 mgas/s	      32 B/op	       1 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-16            	 8638498	      1509 ns/op	      1080 gas/op	       715.8 mgas/s	      56 B/op	       2 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-16            	1000000000	         8.512 ns/op	        27.00 gas/op	      3172 mgas/s	       0 B/op	       0 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-16  	  249772	     49687 ns/op	     13056 gas/op	       262.8 mgas/s	    2681 B/op	      40 allocs/op
BenchmarkPrecompiledModExpEip2565/eip_example1-Gas=1360-16         	  273177	     49974 ns/op	      1360 gas/op	        27.21 mgas/s	    2689 B/op	      41 allocs/op
BenchmarkPrecompiledBn256Add/chfast1-Gas=150-16                    	  569952	     17959 ns/op	       150.0 gas/op	         8.350 mgas/s	     784 B/op	      16 allocs/op
BenchmarkPrecompiledBn256Add/chfast2-Gas=150-16                    	  600181	     18300 ns/op	       150.0 gas/op	         8.190 mgas/s	     784 B/op	      16 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio1-Gas=150-16                   	 8532625	      1417 ns/op	       150.0 gas/op	       105.8 mgas/s	     624 B/op	      11 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio2-Gas=150-16                   	 8146634	      1470 ns/op	       150.0 gas/op	       102.0 mgas/s	     688 B/op	      12 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio3-Gas=150-16                   	 8168622	      1480 ns/op	       150.0 gas/op	       101.3 mgas/s	     688 B/op	      12 allocs/op
