goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: AMD Ryzen 7 2700X Eight-Core Processor         
BenchmarkPrecompiledEcrecover/-Gas=3000-16            	  166406	     65570 ns/op	      3000 gas/op	        45.75 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-16             	15873189	       741.4 ns/op	       108.0 gas/op	       145.7 mgas/s	      32 B/op	       1 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-16            	 7832455	      1462 ns/op	      1080 gas/op	       738.5 mgas/s	      56 B/op	       2 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-16            	1000000000	         8.466 ns/op	        27.00 gas/op	      3189 mgas/s	       0 B/op	       0 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-16  	  227732	     49224 ns/op	     13056 gas/op	       265.2 mgas/s	    2681 B/op	      40 allocs/op
BenchmarkPrecompiledModExpEip2565/eip_example1-Gas=1360-16         	  227606	     48825 ns/op	      1360 gas/op	        27.85 mgas/s	    2689 B/op	      41 allocs/op
BenchmarkPrecompiledBn256Add/chfast1-Gas=150-16                    	  574237	     17900 ns/op	       150.0 gas/op	         8.370 mgas/s	     784 B/op	      16 allocs/op
BenchmarkPrecompiledBn256Add/chfast2-Gas=150-16                    	  643123	     18197 ns/op	       150.0 gas/op	         8.240 mgas/s	     784 B/op	      16 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio1-Gas=150-16                   	 8484542	      1409 ns/op	       150.0 gas/op	       106.4 mgas/s	     624 B/op	      11 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio2-Gas=150-16                   	 8106174	      1474 ns/op	       150.0 gas/op	       101.8 mgas/s	     688 B/op	      12 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio3-Gas=150-16                   	 8124594	      1474 ns/op	       150.0 gas/op	       101.7 mgas/s	     688 B/op	      12 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio4-Gas=150-16                   	 7874283	      1509 ns/op	       150.0 gas/op	        99.39 mgas/s	     752 B/op	      13 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio5-Gas=150-16                   	 8481434	      1391 ns/op	       150.0 gas/op	       107.8 mgas/s	     624 B/op	      11 allocs/op
BenchmarkPrecompiledBn256Add/cdetrio6-Gas=150-16                   	 6459754	      1851 ns/op	       150.0 gas/op	        81.04 mgas/s	     624 B/op	      11 allocs/op
